Date,Away Team,Home Team,Result,Venue,,,,
"Dec 13, 2015
3:30 PM ET",Minnesota,Phoenix,Preview,"Talking Stick Resort Arena
Phoenix, Arizona
Regular Season",,,"
3:30 PM ET","
3:30 "
"Dec 13, 2015
6:00 PM ET",Memphis,Miami,Preview,"AmericanAirlines Arena
Miami, Florida
Regular Season",,,"
6:00 PM ET","
6:00 "
"Dec 13, 2015
6:00 PM ET",Philadelphia,Toronto,Preview,"Air Canada Centre
Toronto, Ontario
Regular Season",,,"
6:00 PM ET","
6:00 "
"Dec 13, 2015
7:00 PM ET",Utah,Oklahoma City,Preview,"Chesapeake Energy Arena
Oklahoma City, Oklahoma
Regular Season",,,"
7:00 PM ET","
7:00 "
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
